time_window,outlier_method,phase,beta,r_squared,p_value,avg_depth_l1,avg_depth_l2,n_obs
1,Raw,Phase 1 (Early),1.8859192654705818e-06,0.053096121567170085,2.270091513760466e-91,17465.461519388704,5516620.94763884,7535
1,Raw,Phase 2 (Middle),6.971823080987818e-07,0.048998872421407234,2.7295661069012074e-84,25998.167399936705,5393640.981662086,7535
1,Raw,Phase 3 (Near Expiry),1.0960096891955395e-06,0.08960890110205057,7.553110293238988e-156,19503.818601293955,5874567.65972665,7537
1,IQR (1.5x),Phase 1 (Early),5.4408403083010725e-06,0.05631609936594692,1.1672843821586815e-73,17388.65347275022,5640957.296701036,5689
1,IQR (1.5x),Phase 2 (Middle),1.0564023884868912e-05,0.060626339478147905,2.4997898824361397e-79,24011.179292748395,5412303.76104613,5689
1,IQR (1.5x),Phase 3 (Near Expiry),7.898685234956465e-06,0.05499563156489915,5.948771539942879e-72,19594.486501855055,5710870.3534849575,5691
1,Pctl (1%-99%),Phase 1 (Early),1.968988613944078e-06,0.0294139422989958,7.487123988674767e-50,17374.2489133816,5539462.30427047,7384
1,Pctl (1%-99%),Phase 2 (Middle),3.1339466464554926e-06,0.06252704365896815,1.1712969506149024e-105,25559.437573820658,5399343.202077517,7384
1,Pctl (1%-99%),Phase 3 (Near Expiry),2.9943680638055685e-06,0.10953556306147892,2.8652174967309783e-188,18701.483949626858,5845637.695331951,7385
1,Z-Score (3),Phase 1 (Early),2.165724662926642e-06,0.04510886586441121,4.613855980521117e-77,17411.483123229165,5525600.059489159,7482
1,Z-Score (3),Phase 2 (Middle),2.7015215817756363e-06,0.07021102253553411,1.9890146861851393e-120,25705.470201665084,5394604.06320602,7482
1,Z-Score (3),Phase 3 (Near Expiry),2.4997864944592715e-06,0.1266648206383447,2.691644164938135e-222,19107.87431791686,5866513.739387065,7482
1,Winsorized,Phase 1 (Early),2.3481754852363736e-06,0.049090884216496995,1.8941562403124408e-84,17465.461519388704,5516620.94763884,7535
1,Winsorized,Phase 2 (Middle),3.422981879143515e-06,0.09738439811037806,7.41475182917029e-170,25998.167399936705,5393640.981662086,7535
1,Winsorized,Phase 3 (Near Expiry),3.0026190644944195e-06,0.1581586895476981,4.660535235155179e-284,19503.818601293955,5874567.65972665,7537
1,Abs (200k),Phase 1 (Early),1.8859195524447734e-06,0.05309613653350702,2.39755703803665e-91,17459.23748111782,5517041.535915128,7533
1,Abs (200k),Phase 2 (Middle),1.879836098437429e-06,0.07402559946140254,5.708877021587643e-128,25874.82671609499,5393910.070494017,7533
1,Abs (200k),Phase 3 (Near Expiry),2.0324449892468087e-06,0.1478276744106229,6.0160793039518e-264,19457.975986905993,5874647.809420417,7533
1,Abs (100k),Phase 1 (Early),2.1121523304584667e-06,0.04823507736573347,8.006075451300736e-83,17420.050765890246,5519381.901916012,7521
1,Abs (100k),Phase 2 (Middle),2.2752156098827934e-06,0.07861497357985586,6.7908305760638796e-136,25821.02536387511,5396137.978963744,7521
1,Abs (100k),Phase 3 (Near Expiry),2.217642921119212e-06,0.1459991081939611,4.2687811977416016e-260,19400.32092521916,5873770.337054321,7523
1,MAD (3),Phase 1 (Early),4.9100095058539825e-06,0.05278102901183069,1.7605137290137778e-70,17360.534498581324,5634702.1821688255,5812
1,MAD (3),Phase 2 (Middle),1.0500532864216355e-05,0.0664489188335943,7.222480333003505e-89,23710.65254838377,5438342.810411679,5812
1,MAD (3),Phase 3 (Near Expiry),7.294682273319923e-06,0.05791181000539325,2.3616903092734784e-77,19738.250775527435,5731362.615677942,5812
1,Pctl (5%-95%),Phase 1 (Early),2.7431149999956736e-06,0.053344104132834365,8.412810442478986e-83,17143.81382745257,5587933.0661282195,6781
1,Pctl (5%-95%),Phase 2 (Middle),4.786337256052679e-06,0.05150201648719438,6.225521215088416e-80,24342.19136916607,5467419.045474965,6781
1,Pctl (5%-95%),Phase 3 (Near Expiry),4.7002549120275155e-06,0.08099801193446293,1.4313416469236409e-126,19401.09737900851,5792144.165035911,6783
5,Raw,Phase 1 (Early),2.1760856241559927e-06,0.07483253177226591,1.979326379584916e-32,17624.697495224336,5807471.408578317,1810
5,Raw,Phase 2 (Middle),9.664784828376718e-07,0.0970880396130133,4.796686924592373e-42,22736.616679221963,5192758.477930989,1810
5,Raw,Phase 3 (Near Expiry),1.1955946241561446e-06,0.1320933427487309,1.2327857218479829e-57,20427.95452716764,5721521.18060508,1810
5,IQR (1.5x),Phase 1 (Early),3.979501928900233e-06,0.0512834905658402,3.9598767277994727e-19,16958.014903357343,6002400.139092966,1520
5,IQR (1.5x),Phase 2 (Middle),5.78840824433952e-06,0.10402785088743616,3.906285368626519e-38,20538.783083981736,4851868.902266949,1520
5,IQR (1.5x),Phase 3 (Near Expiry),4.426138355340087e-06,0.1346099275726333,1.226633990064326e-49,18858.131752016434,5927451.1441009445,1520
5,Pctl (1%-99%),Phase 1 (Early),2.38727900932861e-06,0.06207969249053739,1.700625391308191e-26,17338.799629604768,5846898.32479597,1773
5,Pctl (1%-99%),Phase 2 (Middle),3.0031053789239324e-06,0.10627590421000584,3.574260354335699e-45,20577.55597646889,5205453.697838178,1773
5,Pctl (1%-99%),Phase 3 (Near Expiry),2.9846506143977076e-06,0.22419847507238724,8.328078050646188e-100,20854.80400095606,5691805.221930825,1774
5,Z-Score (3),Phase 1 (Early),2.272303243485184e-06,0.06180024915071781,1.1290562163847526e-26,17531.968578630185,5825658.529164947,1794
