level,time_window,outlier_method,exponent,r2,beta,p_value,n_obs,std_err
L10,90,Raw,0.3,0.6764954588096076,0.001636831028218025,3.227407276060942e-77,309,6.460147130913166e-05
L5,90,Raw,0.3,0.6740026017626128,0.002201390930769201,1.0504583126966714e-76,309,8.737843575458911e-05
L5,60,Raw,0.3,0.6713677159464574,0.0022801032979013485,9.637639826677814e-113,460,7.454124971682868e-05
L10,90,Winsorized,0.3,0.6677059384861099,0.001736104646258671,1.9894999683429074e-75,309,6.989971133181237e-05
L5,90,Winsorized,0.3,0.666174674435781,0.002334571152654304,4.033957655478223e-75,309,9.431993841386014e-05
L10,45,Raw,0.3,0.6656905726684269,0.001677018885143139,5.5923677348702284e-148,615,4.800050699229529e-05
L2,60,Raw,0.3,0.6654137381983388,0.003297681823632639,5.910264623677828e-111,460,0.00010926578301276727
L2,90,Raw,0.3,0.6651832030004781,0.0031407500280566268,6.364333317503336e-75,309,0.0001271736588378564
L2,90,Winsorized,0.3,0.664091937534506,0.0032666073051236186,1.0496167247410797e-74,309,0.00013259399359678172
L10,60,Raw,0.3,0.6624841111644519,0.0016823251408191742,4.360936667917212e-110,460,5.610952264692253e-05
L5,45,Raw,0.3,0.6574288815770034,0.0022443412332509402,9.99642320681335e-145,615,6.543492882468153e-05
L5,60,Winsorized,0.3,0.6563623505200756,0.00234881813936131,2.6870449645859025e-108,460,7.941365636395346e-05
L2,45,Raw,0.3,0.6533247959068922,0.003233118990435944,3.85856890341701e-143,615,9.5123598347763e-05
L10,45,Winsorized,0.3,0.6501304658712087,0.001762010555060257,6.432519085501428e-142,615,5.22072806825035e-05
L2,60,Winsorized,0.3,0.6499571590275599,0.0034204992609103238,1.8538546883874634e-106,460,0.0001172937836786778
L10,60,Winsorized,0.3,0.6469722518423588,0.0017383815775474966,1.2987893182591747e-105,460,6.0003138347526355e-05
L5,45,Winsorized,0.3,0.6327997892632572,0.0023642157575576753,1.7771997725431302e-135,615,7.27403134697336e-05
L2,45,Winsorized,0.3,0.6303478752265063,0.0033739671240695895,1.3691383358122792e-134,615,0.0001043559139687466
L5,60,Z-Score,0.3,0.5583485688210156,0.002156096870997949,6.979150604883457e-82,452,9.0395982591756e-05
L10,90,Z-Score,0.3,0.5583201085448191,0.0016720369863747206,5.404505247312146e-55,301,8.600475533275478e-05
L5,90,Z-Score,0.3,0.5563814788059487,0.0021708146493526867,6.92855171649278e-55,302,0.00011191302090717828
L2,90,Z-Score,0.3,0.5552225148426245,0.0031026312882933864,1.0257905908573886e-54,302,0.000160327272160062
L10,60,Z-Score,0.3,0.5437219947504279,0.001601474281539817,1.5999730914883037e-78,451,6.923458836913149e-05
L2,60,Z-Score,0.3,0.5433712191230184,0.0029308814170577882,1.2837449151538354e-78,452,0.0001266558679402406
L10,45,Z-Score,0.3,0.5333471172533714,0.001638687803441938,3.2553625712006303e-101,601,6.26289038486734e-05
L5,45,Z-Score,0.3,0.520928840680978,0.002204382362359358,1.7952524072831953e-97,599,8.651881729668859e-05
L2,45,Z-Score,0.3,0.48515719516629674,0.003053584804045108,1.0927562535421757e-87,596,0.00012906629661770734
