test_type,config,time_window,r2,rmse,n_obs
q^a_exponent,a=0.3,10,0.6803372394268951,0.09088718987991373,2747
q^a_exponent,a=0.5,10,0.6384097248636321,0.09666405816918588,2747
q^a_exponent,a=0.7,10,0.5831065021430917,0.10379327458513071,2747
q^a_exponent,a=1.0,10,0.4588434226637157,0.11825462183832536,2747
time_window,Cumulative_L25,1,0.31979793779202426,0.039332592647753926,22608
time_window,Cumulative_L25,5,0.40529757208893147,0.08597951627495773,5431
time_window,Cumulative_L25,10,0.4588434226637157,0.11825462183832536,2747
time_window,Cumulative_L25,15,0.4978866371992541,0.1404639991517812,1835
time_window,Cumulative_L25,20,0.5068622299888139,0.15459620013178244,1376
time_window,Cumulative_L25,30,0.515168357602898,0.19713373072997406,920
time_window,Cumulative_L25,45,0.5137472251903867,0.2490508880054388,615
time_window,Cumulative_L25,60,0.5454478658597972,0.279699587687765,460
time_window,Cumulative_L25,90,0.5492824523624409,0.3336475489800982,309
level_comparison,L1_only,1,0.05799963637830419,0.04628701104534961,22608
level_comparison,Cumulative_L25,1,0.31979793779202426,0.039332592647753926,22608
level_comparison,L1_only,5,0.11442426805147043,0.10491993069278842,5431
level_comparison,Cumulative_L25,5,0.40529757208893147,0.08597951627495773,5431
level_comparison,L1_only,10,0.17633749944145372,0.14589194020004956,2747
level_comparison,Cumulative_L25,10,0.4588434226637157,0.11825462183832536,2747
level_comparison,L1_only,30,0.16886988202372233,0.2581071129210152,920
level_comparison,Cumulative_L25,30,0.515168357602898,0.19713373072997406,920
level_comparison,L1_only,60,0.16432501071474692,0.37924396443384917,460
level_comparison,Cumulative_L25,60,0.5454478658597972,0.279699587687765,460
