level,ElasticNet,Lasso,Ridge,importance_rank
1,0.016802690114944705,0.028273580504757905,0.0325346547381635,1.0
2,0.006790836461372357,0.013448741271785598,0.01671743949458904,6.0
3,0.015200380947538712,0.015138267648052489,0.014865063906516747,5.0
4,0.00349296057225634,0.007255647342128178,0.00963002168405018,8.0
5,0.0,0.0,0.0009147814334473811,10.0
6,0.009181833477409978,0.01981353756686294,0.023145654574716755,4.0
7,0.004391001659574545,0.0033467739316820878,0.004892309049477362,9.0
8,0.014426671950955256,0.021773507688926625,0.023673219677109992,3.0
9,0.006840625259211423,0.011094524296862083,0.013903636791344258,7.0
10,0.0160857196102749,0.022189933306916324,0.02391783694090268,2.0
