level_config,time_window,outlier_method,q_exponent,r2,beta,p_value,n_obs,std_err
L2,90,Abs (100k),0.3,0.7791095413574869,0.0020610893660584916,1.1040360838088426e-102,309,6.263496684325357e-05
L2,90,Raw,0.3,0.7791095413574869,0.0020610893660584916,1.1040360838088426e-102,309,6.263496684325357e-05
L2,90,Abs (200k),0.3,0.7791095413574869,0.0020610893660584916,1.1040360838088426e-102,309,6.263496684325357e-05
L2,60,Abs (100k),0.3,0.7774152137991133,0.0021430989882110524,1.592714814372748e-151,460,5.358345499188715e-05
L2,60,Abs (200k),0.3,0.7774152137991133,0.0021430989882110524,1.592714814372748e-151,460,5.358345499188715e-05
L2,60,Raw,0.3,0.7774152137991133,0.0021430989882110524,1.592714814372748e-151,460,5.358345499188715e-05
L3,60,Raw,0.3,0.7771174364365662,0.0014084104858841596,2.1636258908489866e-151,460,3.524449005426872e-05
L3,60,Abs (200k),0.3,0.7771174364365662,0.0014084104858841596,2.1636258908489866e-151,460,3.524449005426872e-05
L3,60,Abs (100k),0.3,0.7771174364365662,0.0014084104858841596,2.1636258908489866e-151,460,3.524449005426872e-05
L2,90,Winsorized,0.3,0.7743532010834447,0.002185718583023621,2.914188988078238e-101,309,6.733953240066843e-05
L5,60,Abs (100k),0.3,0.7730094846963839,0.0008225717222924415,1.4212380333116564e-149,460,2.082823555540743e-05
L5,60,Abs (200k),0.3,0.7730094846963839,0.0008225717222924415,1.4212380333116564e-149,460,2.082823555540743e-05
L5,60,Raw,0.3,0.7730094846963839,0.0008225717222924415,1.4212380333116564e-149,460,2.082823555540743e-05
L3,90,Abs (100k),0.3,0.7726922120956875,0.0013599722558930555,8.992882039934589e-101,309,4.209831866047286e-05
L3,90,Abs (200k),0.3,0.7726922120956875,0.0013599722558930555,8.992882039934589e-101,309,4.209831866047286e-05
L3,90,Raw,0.3,0.7726922120956875,0.0013599722558930555,8.992882039934589e-101,309,4.209831866047286e-05
L50pct,60,Raw,0.3,0.7719168269425416,0.00015591172062129314,4.2712979096461e-149,460,3.960111321193173e-06
L50pct,60,Abs (100k),0.3,0.7719168269425416,0.00015591172062129314,4.2712979096461e-149,460,3.960111321193173e-06
L50pct,60,Abs (200k),0.3,0.7719168269425416,0.00015591172062129314,4.2712979096461e-149,460,3.960111321193173e-06
L50pct,90,Abs (100k),0.3,0.770416143071613,0.00015263033244762453,4.1565551582069094e-100,309,4.755318925082744e-06
L50pct,90,Abs (200k),0.3,0.770416143071613,0.00015263033244762453,4.1565551582069094e-100,309,4.755318925082744e-06
L50pct,90,Raw,0.3,0.770416143071613,0.00015263033244762453,4.1565551582069094e-100,309,4.755318925082744e-06
L20,60,Abs (100k),0.3,0.7701259568884375,0.00019098281718461614,2.5639113807148645e-148,460,4.875572769709482e-06
L20,60,Abs (200k),0.3,0.7701259568884375,0.00019098281718461614,2.5639113807148645e-148,460,4.875572769709482e-06
