level_config,time_window,outlier_method,q_exponent,overall_r2,overall_n,overall_beta,early_r2,early_n,early_beta,middle_r2,middle_n,middle_beta,late_r2,late_n,late_beta
L2,90,Abs (100k),0.3,0.7791095413574869,309,0.0020610893660584916,0.7669703612212946,103,0.0017571539708239384,0.7685280801090041,103,0.0023890726148272814,0.8103886173942406,103,0.0019096163156113516
L2,90,Raw,0.3,0.7791095413574869,309,0.0020610893660584916,0.7669703612212946,103,0.0017571539708239384,0.7685280801090041,103,0.0023890726148272814,0.8103886173942406,103,0.0019096163156113516
L2,90,Abs (200k),0.3,0.7791095413574869,309,0.0020610893660584916,0.7669703612212946,103,0.0017571539708239384,0.7685280801090041,103,0.0023890726148272814,0.8103886173942406,103,0.0019096163156113516
L2,60,Abs (100k),0.3,0.7774152137991133,460,0.0021430989882110524,0.7264390464771407,153,0.0016101406166692156,0.7917796245748441,153,0.002448380522425029,0.7894335513385516,154,0.0020098006872456132
L2,60,Abs (200k),0.3,0.7774152137991133,460,0.0021430989882110524,0.7264390464771407,153,0.0016101406166692156,0.7917796245748441,153,0.002448380522425029,0.7894335513385516,154,0.0020098006872456132
L2,60,Raw,0.3,0.7774152137991133,460,0.0021430989882110524,0.7264390464771407,153,0.0016101406166692156,0.7917796245748441,153,0.002448380522425029,0.7894335513385516,154,0.0020098006872456132
L3,60,Raw,0.3,0.7771174364365662,460,0.0014084104858841596,0.7165766917016182,153,0.0010669958696778506,0.7769641828222968,153,0.0016299731932771394,0.8057168958417898,154,0.0013148437478104485
L3,60,Abs (200k),0.3,0.7771174364365662,460,0.0014084104858841596,0.7165766917016182,153,0.0010669958696778506,0.7769641828222968,153,0.0016299731932771394,0.8057168958417898,154,0.0013148437478104485
L3,60,Abs (100k),0.3,0.7771174364365662,460,0.0014084104858841596,0.7165766917016182,153,0.0010669958696778506,0.7769641828222968,153,0.0016299731932771394,0.8057168958417898,154,0.0013148437478104485
L2,90,Winsorized,0.3,0.7743532010834447,309,0.002185718583023621,0.7669703612212946,103,0.0017571539708239384,0.7663516229120568,103,0.0024217801346965474,0.794539504262856,103,0.002092146902693358
L5,60,Abs (100k),0.3,0.7730094846963839,460,0.0008225717222924415,0.6917541747510338,153,0.0006467385219847289,0.7676229486777894,153,0.0009879067531479457,0.8161084074774158,154,0.0007535417075305252
L5,60,Abs (200k),0.3,0.7730094846963839,460,0.0008225717222924415,0.6917541747510338,153,0.0006467385219847289,0.7676229486777894,153,0.0009879067531479457,0.8161084074774158,154,0.0007535417075305252
L5,60,Raw,0.3,0.7730094846963839,460,0.0008225717222924415,0.6917541747510338,153,0.0006467385219847289,0.7676229486777894,153,0.0009879067531479457,0.8161084074774158,154,0.0007535417075305252
L3,90,Abs (100k),0.3,0.7726922120956875,309,0.0013599722558930555,0.7667658664224064,103,0.0011935950770582964,0.7439652425226367,103,0.0015885133456436046,0.8201846037041828,103,0.0012564686094608743
L3,90,Abs (200k),0.3,0.7726922120956875,309,0.0013599722558930555,0.7667658664224064,103,0.0011935950770582964,0.7439652425226367,103,0.0015885133456436046,0.8201846037041828,103,0.0012564686094608743
L3,90,Raw,0.3,0.7726922120956875,309,0.0013599722558930555,0.7667658664224064,103,0.0011935950770582964,0.7439652425226367,103,0.0015885133456436046,0.8201846037041828,103,0.0012564686094608743
L50pct,60,Raw,0.3,0.7719168269425416,460,0.00015591172062129314,0.6719423349881664,153,0.0001250699090574065,0.7603356368625035,153,0.0001935627258454882,0.8309810223661916,154,0.00014114226758990187
L50pct,60,Abs (100k),0.3,0.7719168269425416,460,0.00015591172062129314,0.6719423349881664,153,0.0001250699090574065,0.7603356368625035,153,0.0001935627258454882,0.8309810223661916,154,0.00014114226758990187
L50pct,60,Abs (200k),0.3,0.7719168269425416,460,0.00015591172062129314,0.6719423349881664,153,0.0001250699090574065,0.7603356368625035,153,0.0001935627258454882,0.8309810223661916,154,0.00014114226758990187
L50pct,90,Abs (100k),0.3,0.770416143071613,309,0.00015263033244762453,0.6970433096620193,103,0.00014129573107005207,0.7408179592627989,103,0.00019125697195164742,0.8445463284264945,103,0.00013719743527171237
