r_squared,rmse,best_alpha,n_obs,feature_group,time_window,method,n_features
0.056869712350265056,0.06145717318456932,,22607,Raw_L1,1,OLS,1
0.09857100985128553,0.12297867423238867,,5430,Raw_L1,5,OLS,1
0.14763142285998943,0.16999387185244194,,2747,Raw_L1,10,OLS,1
0.1857340007066418,0.19999091717288367,,1835,Raw_L1,15,OLS,1
0.1758117146744851,0.23128089055528842,,1376,Raw_L1,20,OLS,1
0.14742810241963378,0.2892922304417943,,920,Raw_L1,30,OLS,1
0.17277458616879915,0.349521246635308,,615,Raw_L1,45,OLS,1
0.14565727073182133,0.4177151861084981,,460,Raw_L1,60,OLS,1
0.16882591790100387,0.49151473063382706,,309,Raw_L1,90,OLS,1
0.29601841770477066,0.05309668199836929,100.0,22607,Raw_L10,1,Ridge,10
0.303369352029331,0.1081098674632687,100.0,5430,Raw_L10,5,Ridge,10
0.3507541668587284,0.14836249756583644,100.0,2747,Raw_L10,10,Ridge,10
0.3961942217390867,0.17221689474632546,100.0,1835,Raw_L10,15,Ridge,10
0.3772353794957778,0.20104278802271683,100.0,1376,Raw_L10,20,Ridge,10
0.3895327478499181,0.24479494704917715,100.0,920,Raw_L10,30,Ridge,10
0.41386835706351033,0.29421121972958264,100.0,615,Raw_L10,45,Ridge,10
0.408700670812737,0.3475104698834164,100.0,460,Raw_L10,60,Ridge,10
0.41280633952118273,0.4131247566006671,100.0,309,Raw_L10,90,Ridge,10
0.23150175318728372,0.055476387738432976,,22607,Cumulative_L5,1,OLS,1
0.23800383872969122,0.11306818949927969,,5430,Cumulative_L5,5,OLS,1
0.2528224634101949,0.15915909225591177,,2747,Cumulative_L5,10,OLS,1
0.27120825103630786,0.18920336030966872,,1835,Cumulative_L5,15,OLS,1
0.269960486953316,0.21767057055428402,,1376,Cumulative_L5,20,OLS,1
0.25771424499505424,0.26993352515125585,,920,Cumulative_L5,30,OLS,1
0.2994185244271004,0.3216554923145846,,615,Cumulative_L5,45,OLS,1
0.3071863990065048,0.37615981915354474,,460,Cumulative_L5,60,OLS,1
0.2910761547659907,0.4539315135881918,,309,Cumulative_L5,90,OLS,1
0.2819645908631143,0.05362405664151873,,22607,Cumulative_L10,1,OLS,1
0.28600299407399865,0.10944911183089956,,5430,Cumulative_L10,5,OLS,1
0.32510186528336327,0.15126507398714917,,2747,Cumulative_L10,10,OLS,1
0.37208420932529584,0.17562155740624566,,1835,Cumulative_L10,15,OLS,1
0.3506914614002684,0.20528257620309687,,1376,Cumulative_L10,20,OLS,1
0.36357261029727705,0.24994571412066452,,920,Cumulative_L10,30,OLS,1
0.3879880475490033,0.30063642508516925,,615,Cumulative_L10,45,OLS,1
0.37372431054727306,0.35764073387345185,,460,Cumulative_L10,60,OLS,1
0.3768654800268856,0.42558023222414315,,309,Cumulative_L10,90,OLS,1
0.3485119773272751,0.051078713727552114,,22607,Cumulative_L25,1,OLS,1
0.35263231176357346,0.10421723718960792,,5430,Cumulative_L25,5,OLS,1
0.3879385525493747,0.14405126045227978,,2747,Cumulative_L25,10,OLS,1
0.4191677226449948,0.16890888420302036,,1835,Cumulative_L25,15,OLS,1
