level_config,time_window,method,n_levels,r_squared,rmse,best_alpha,l1_ratio,n_nonzero_coefs,coefficients
L5,1,OLS_L1,1,0.056869712350265056,0.06145717318456932,,,1,[0.01509132076627817]
L5,1,OLS_Cumulative,5,0.23150175318728372,0.055476387738432976,,,1,[0.030448357949220965]
L5,1,Ridge,5,0.23532095561163002,0.05533836566041898,100.0,,5,"[0.007993961996411725, 0.007277359286209424, 0.011515110723878196, 0.010075384417393382, 0.010687694391371487]"
L5,1,Lasso,5,0.23469174536346116,0.05536112835233459,0.001,1.0,5,"[0.007372409881008642, 0.006751012949401948, 0.011070512262415995, 0.00969734703724855, 0.01023807649657281]"
L5,1,ElasticNet,5,0.22944100431012326,0.05555071866033666,0.01,0.3,5,"[0.006062422708770194, 0.005665410620712926, 0.010077290836501588, 0.008883248476995086, 0.009254782885811361]"
L5,5,OLS_L1,1,0.09857100985128553,0.12297867423238867,,,1,[0.04066667353436707]
L5,5,OLS_Cumulative,5,0.23800383872969122,0.11306818949927969,,,1,[0.06319111627168611]
L5,5,Ridge,5,0.24403553970179748,0.1126197958470737,100.0,,5,"[0.016711406744616058, 0.015697119274097095, 0.023744093111998776, 0.016170116892469544, 0.015318028776376927]"
L5,5,Lasso,5,0.23209493120763902,0.11350573714810945,0.01,1.0,5,"[0.011079290249447362, 0.011562524603698622, 0.022117034428203862, 0.01344953704052721, 0.009993906316131456]"
L5,5,ElasticNet,5,0.22930226812078114,0.11371194467452557,0.1,0.1,5,"[0.010924490932521628, 0.011304436710319245, 0.020531629269025742, 0.013290428920532286, 0.009985642891313267]"
L5,10,OLS_L1,1,0.14763142285998943,0.16999387185244194,,,1,[0.07074715059593793]
L5,10,OLS_Cumulative,5,0.2528224634101949,0.15915909225591177,,,1,[0.0925821750506161]
L5,10,Ridge,5,0.26528123694585104,0.15782656906985104,100.0,,5,"[0.03521615889200479, 0.02443822878523381, 0.02760632316880892, 0.02174443803323959, 0.0166327892056049]"
L5,10,Lasso,5,0.25980947060316495,0.15841318004936783,0.01,1.0,5,"[0.030369656635376788, 0.020641710147600394, 0.026948166179167083, 0.01899409826107272, 0.011675981443989113]"
L5,10,ElasticNet,5,0.25750581178520304,0.15865949934637127,0.1,0.1,5,"[0.028638408871539282, 0.0201262251668397, 0.02574385808094715, 0.018633131642076046, 0.01200456604120876]"
L5,15,OLS_L1,1,0.1857340007066418,0.19999091717288367,,,1,[0.09551527458988747]
L5,15,OLS_Cumulative,5,0.27120825103630786,0.18920336030966872,,,1,[0.11541933581147702]
L5,15,Ridge,5,0.28615992893316433,0.1872524822057499,100.0,,5,"[0.048729787497585664, 0.017813864596290686, 0.03337225412334852, 0.02760126825344824, 0.017923403601962467]"
L5,15,Lasso,5,0.2829436871101738,0.18767384579057028,0.01,1.0,5,"[0.04576651947663349, 0.01297266795732109, 0.03506718666608989, 0.02502987798293664, 0.012655581337776275]"
L5,15,ElasticNet,5,0.28463298616536137,0.1874526468481528,0.01,0.7,5,"[0.047349179342670994, 0.014087280953707882, 0.03473634745798926, 0.02597566067337077, 0.014202350666232095]"
L5,20,OLS_L1,1,0.1758117146744851,0.23128089055528842,,,1,[0.1068194744825628]
L5,20,OLS_Cumulative,5,0.269960486953316,0.21767057055428402,,,1,[0.13236605750474947]
L5,20,Ridge,5,0.28511174089841895,0.21539995812042523,100.0,,5,"[0.05005102304730869, 0.037665742407336944, 0.021679654579473073, 0.04459792847556083, 0.014387132733794739]"
L5,20,Lasso,5,0.28291490757487303,0.21573066353219647,0.01,1.0,5,"[0.04782745447453576, 0.035966078835700244, 0.017446854355857983, 0.04718780924934925, 0.007515363950496903]"
L5,20,ElasticNet,5,0.2809881079628296,0.21602030203723546,0.1,0.1,5,"[0.044499458773803374, 0.03428299357613384, 0.02060192104828933, 0.04125440696163765, 0.010638341977898055]"
L5,30,OLS_L1,1,0.1474281024196339,0.2892922304417943,,,1,[0.12029882932127096]
L5,30,OLS_Cumulative,5,0.25771424499505424,0.26993352515125585,,,1,[0.15905249111369743]
