test_type,config,time_window,r2_train,r2_test,rmse_test,n_train,n_test
q^a_exponent,a=0.3,10,0.6199015232776579,0.7553850763936445,0.09049683471565881,1922,825
q^a_exponent,a=0.5,10,0.5947522727119883,0.6367803011885287,0.11027488451790644,1922,825
q^a_exponent,a=0.7,10,0.5714117964144974,0.40643441530212177,0.14096986077924195,1922,825
q^a_exponent,a=1.0,10,0.526425141837348,-0.4346536071160325,0.219162094348497,1922,825
q^a_exponent,a=1.2,10,0.4681827983405066,-1.5101558460293387,0.28989602315952495,1922,825
q^a_exponent,a=1.5,10,0.3083080693832202,-2.627304272432308,0.34848485482780595,1922,825
bid_ask_comparison,Net_OFI,10,0.526425141837348,-0.4346536071160325,0.219162094348497,1922,825
bid_ask_comparison,Separate_Bid_Ask,10,0.5355963623527624,-0.43303048094045393,0.21903808239108924,1922,825
time_window,Cumulative_L25,1,0.29405967106295483,0.24369088717174747,0.04836893396368047,15825,6783
time_window,Cumulative_L25,5,0.4521905890263991,-0.4160918327519867,0.1517418260742773,3801,1630
time_window,Cumulative_L25,10,0.526425141837348,-0.4346536071160325,0.219162094348497,1922,825
time_window,Cumulative_L25,15,0.5664475842544687,-0.23236552086831241,0.2599154047601621,1284,551
time_window,Cumulative_L25,20,0.5746670033215945,-0.1675253901896845,0.28413258439797406,963,413
time_window,Cumulative_L25,30,0.5791596457835108,-0.021953810371867055,0.332111714849016,644,276
time_window,Cumulative_L25,45,0.591357551848543,-0.04258085829755687,0.40121283988853196,430,185
time_window,Cumulative_L25,60,0.6078431905199905,0.15424550731105646,0.4437982630852012,322,138
time_window,Cumulative_L25,90,0.6148169487465895,0.14885630020969443,0.478428250277968,216,93
robustness,exclude_top_1pct,10,0.5813662526402082,-0.3973315614655666,0.17821534154865798,1904,817
robustness,exclude_top_5pct,10,0.6222353455051092,-0.5794306058217205,0.12749783496506426,1830,785
robustness,exclude_top_10pct,10,0.6608710066252181,-0.8417318747388665,0.11453158941183526,1772,760
