time_window,outlier_method,r_squared,beta,p_value,n_windows,std_err
1,Raw,0.05686971235026511,8.99116702735038e-07,8.782602741499539e-290,22607,2.4353374095932903e-08
1,IQR (1.5x),0.05453453329536677,7.997219125606428e-06,3.8851784185488045e-210,17069,2.548868538481602e-07
1,Pctl (1%-99%),0.06701599037446579,2.7818520871634883e-06,0.0,22153,6.974053043280977e-08
1,Z-Score (3),0.08227976436097975,2.4903630883728354e-06,0.0,22446,5.55163845079293e-08
1,Winsorized,0.10324536952571148,2.9999951932231384e-06,0.0,22607,5.880575437993961e-08
1,Abs (200k),0.09252928041331651,1.9540940414474396e-06,0.0,22599,4.070959537220685e-08
1,Abs (100k),0.09289238074716004,2.2209659205038927e-06,0.0,22565,4.620434664963189e-08
1,MAD (3),0.056884904160700384,7.5735347293225795e-06,4.828177039808409e-224,17436,2.335521842348745e-07
1,Pctl (5%-95%),0.06036005241534795,4.1667749537999495e-06,2.1608911359329687e-277,20345,1.1526527142997935e-07
5,Raw,0.09857100985128535,1.1086110891774678e-06,1.6639683543572905e-124,5430,4.5504092387618256e-08
5,IQR (1.5x),0.09130759649448955,4.729672059237732e-06,6.659508806628269e-97,4560,2.210033526261467e-07
5,Pctl (1%-99%),0.13228538962671707,2.8819639299046253e-06,4.1875456789949804e-166,5320,1.0121546836236976e-07
5,Z-Score (3),0.1577783536870726,2.7580066934676953e-06,6.824789505238352e-203,5382,8.687476994452985e-08
5,Winsorized,0.17992203557259065,3.0242391928343843e-06,4.06959294335509e-236,5430,8.763581122400421e-08
5,Abs (200k),0.16069008744904476,2.4169140623689308e-06,2.8279868482462535e-208,5417,7.50634654710211e-08
5,Abs (100k),0.15344282798729822,2.8231990518785574e-06,2.61779509310348e-196,5366,9.054239217481251e-08
5,MAD (3),0.09912644324596093,4.592071248470566e-06,5.109608824540756e-108,4672,2.0257569396765743e-07
5,Pctl (5%-95%),0.09773205712523772,3.966575519669738e-06,3.0977943446209687e-111,4886,1.7245553718333079e-07
10,Raw,0.14763142285998931,1.3161983525004181e-06,2.417023193809719e-97,2747,6.03635094604495e-08
10,IQR (1.5x),0.12592267582934763,4.088134999570146e-06,3.5185535005826094e-71,2367,2.214790291727135e-07
10,Pctl (1%-99%),0.21023730622741998,3.1515389056318076e-06,5.120874170303878e-140,2691,1.1779332679654307e-07
10,Z-Score (3),0.21661788432107298,2.816585491029364e-06,2.091033067076066e-146,2722,1.0270182407872119e-07
10,Winsorized,0.23707610844583574,3.0446342005279468e-06,1.5854270268860187e-163,2747,1.0424630248863086e-07
10,Abs (200k),0.2128490329184229,2.6300757762361446e-06,3.8580021545976395e-144,2733,9.678333592349633e-08
10,Abs (100k),0.18362891067561243,3.0479106540144313e-06,9.333804984095338e-120,2671,1.243945130447001e-07
10,MAD (3),0.13380422436734402,3.977274947060182e-06,2.232141033332333e-77,2416,2.0596342252978496e-07
10,Pctl (5%-95%),0.14204511606722517,3.800693795205873e-06,3.091944946527391e-84,2471,1.8798422631672346e-07
15,Raw,0.18573400070664164,1.4011210739926698e-06,7.114378629468209e-84,1835,6.85222912276586e-08
15,IQR (1.5x),0.13251575111512467,3.653972113069451e-06,4.8668354450289235e-51,1591,2.345310390406823e-07
15,Pctl (1%-99%),0.20985792454349625,2.7730473467351585e-06,6.358964226119243e-94,1797,1.2700328840054187e-07
15,Z-Score (3),0.22657960542867162,2.5573041206669505e-06,1.8848778423318803e-103,1818,1.1087199399032137e-07
15,Winsorized,0.2620605847079754,2.9273010983046763e-06,3.9940500964449935e-123,1835,1.1473493244079383e-07
15,Abs (200k),0.22399666292894996,2.5585692433878702e-06,4.443282425998895e-102,1817,1.1178148645507324e-07
15,Abs (100k),0.17622567445855128,2.9686790798090076e-06,9.736300771082709e-76,1752,1.5343122875430465e-07
15,MAD (3),0.14487802235984892,3.5950579342723797e-06,4.919290985592054e-57,1621,2.1706772206734626e-07
15,Pctl (5%-95%),0.1522947213456749,3.4713275055848685e-06,3.454451945717463e-61,1651,2.0168113657615166e-07
20,Raw,0.1758117146744853,1.3262290610166713e-06,1.044814046302608e-59,1376,7.74665986506855e-08
20,IQR (1.5x),0.14898977740765376,3.6136566610648243e-06,1.985707215872501e-43,1186,2.5099217895993197e-07
20,Pctl (1%-99%),0.22888051434089193,2.676628171520557e-06,4.890381250145676e-78,1348,1.3391275443289064e-07
20,Z-Score (3),0.2571122583912606,2.6491027340503584e-06,8.34797105585932e-90,1361,1.2214882031599808e-07
20,Winsorized,0.2791845013098696,2.86536519763628e-06,8.595649035619791e-100,1376,1.2420898727496556e-07
20,Abs (200k),0.2413339671226796,2.63154815356865e-06,3.1488935221415717e-83,1355,1.2684650837922087e-07
20,Abs (100k),0.19961756017330318,3.195130383411053e-06,3.669771151363833e-64,1287,1.7847871297937574e-07
20,MAD (3),0.16543241551698146,3.61749645584073e-06,2.0533717640235398e-49,1210,2.3377340242010774e-07
20,Pctl (5%-95%),0.16712826433549186,3.3243989045587933e-06,4.5694902426943074e-51,1238,2.1109016809730468e-07
30,Raw,0.14742810241963383,1.2099357228212247e-06,1.0938482176665555e-33,920,9.60320782263858e-08
30,IQR (1.5x),0.1452552201504827,3.439635632113592e-06,9.517161113170279e-29,791,2.9704776684394437e-07
