time_window,outlier_method,phase,r_squared,beta,p_value,n_obs
1,Raw,Phase 1 (Early),0.053096121567170085,1.8859192654705818e-06,2.270091513760466e-91,7535
1,Raw,Phase 2 (Middle),0.048998872421407234,6.971823080987818e-07,2.7295661069012074e-84,7535
1,Raw,Phase 3 (Near Expiry),0.08960890110205057,1.0960096891955395e-06,7.553110293238988e-156,7537
1,IQR (1.5x),Phase 1 (Early),0.05631609936594692,5.4408403083010725e-06,1.1672843821586815e-73,5689
1,IQR (1.5x),Phase 2 (Middle),0.060626339478147905,1.0564023884868912e-05,2.4997898824361397e-79,5689
1,IQR (1.5x),Phase 3 (Near Expiry),0.05499563156489915,7.898685234956465e-06,5.948771539942879e-72,5691
1,Pctl (1%-99%),Phase 1 (Early),0.0294139422989958,1.968988613944078e-06,7.487123988674767e-50,7384
1,Pctl (1%-99%),Phase 2 (Middle),0.06252704365896815,3.1339466464554926e-06,1.1712969506149024e-105,7384
1,Pctl (1%-99%),Phase 3 (Near Expiry),0.10953556306147892,2.9943680638055685e-06,2.8652174967309783e-188,7385
1,Z-Score (3),Phase 1 (Early),0.04510886586441121,2.165724662926642e-06,4.613855980521117e-77,7482
1,Z-Score (3),Phase 2 (Middle),0.07021102253553411,2.7015215817756363e-06,1.9890146861851393e-120,7482
1,Z-Score (3),Phase 3 (Near Expiry),0.1266648206383447,2.4997864944592715e-06,2.691644164938135e-222,7482
1,Winsorized,Phase 1 (Early),0.049090884216496995,2.3481754852363736e-06,1.8941562403124408e-84,7535
1,Winsorized,Phase 2 (Middle),0.09738439811037806,3.422981879143515e-06,7.41475182917029e-170,7535
1,Winsorized,Phase 3 (Near Expiry),0.1581586895476981,3.0026190644944195e-06,4.660535235155179e-284,7537
1,Abs (200k),Phase 1 (Early),0.05309613653350702,1.8859195524447734e-06,2.39755703803665e-91,7533
1,Abs (200k),Phase 2 (Middle),0.07402559946140254,1.879836098437429e-06,5.708877021587643e-128,7533
1,Abs (200k),Phase 3 (Near Expiry),0.1478276744106229,2.0324449892468087e-06,6.0160793039518e-264,7533
1,Abs (100k),Phase 1 (Early),0.04823507736573347,2.1121523304584667e-06,8.006075451300736e-83,7521
1,Abs (100k),Phase 2 (Middle),0.07861497357985586,2.2752156098827934e-06,6.7908305760638796e-136,7521
1,Abs (100k),Phase 3 (Near Expiry),0.1459991081939611,2.217642921119212e-06,4.2687811977416016e-260,7523
1,MAD (3),Phase 1 (Early),0.05278102901183069,4.9100095058539825e-06,1.7605137290137778e-70,5812
1,MAD (3),Phase 2 (Middle),0.0664489188335943,1.0500532864216355e-05,7.222480333003505e-89,5812
1,MAD (3),Phase 3 (Near Expiry),0.05791181000539325,7.294682273319923e-06,2.3616903092734784e-77,5812
1,Pctl (5%-95%),Phase 1 (Early),0.053344104132834365,2.7431149999956736e-06,8.412810442478986e-83,6781
1,Pctl (5%-95%),Phase 2 (Middle),0.05150201648719438,4.786337256052679e-06,6.225521215088416e-80,6781
1,Pctl (5%-95%),Phase 3 (Near Expiry),0.08099801193446293,4.7002549120275155e-06,1.4313416469236409e-126,6783
5,Raw,Phase 1 (Early),0.07483253177226591,2.1760856241559927e-06,1.979326379584916e-32,1810
5,Raw,Phase 2 (Middle),0.0970880396130133,9.664784828376718e-07,4.796686924592373e-42,1810
5,Raw,Phase 3 (Near Expiry),0.1320933427487309,1.1955946241561446e-06,1.2327857218479829e-57,1810
5,IQR (1.5x),Phase 1 (Early),0.0512834905658402,3.979501928900233e-06,3.9598767277994727e-19,1520
5,IQR (1.5x),Phase 2 (Middle),0.10402785088743616,5.78840824433952e-06,3.906285368626519e-38,1520
5,IQR (1.5x),Phase 3 (Near Expiry),0.1346099275726333,4.426138355340087e-06,1.226633990064326e-49,1520
5,Pctl (1%-99%),Phase 1 (Early),0.06207969249053739,2.38727900932861e-06,1.700625391308191e-26,1773
5,Pctl (1%-99%),Phase 2 (Middle),0.10627590421000584,3.0031053789239324e-06,3.574260354335699e-45,1773
5,Pctl (1%-99%),Phase 3 (Near Expiry),0.22419847507238724,2.9846506143977076e-06,8.328078050646188e-100,1774
5,Z-Score (3),Phase 1 (Early),0.06180024915071781,2.272303243485184e-06,1.1290562163847526e-26,1794
5,Z-Score (3),Phase 2 (Middle),0.11807805355917865,2.798544257487187e-06,6.96226666861045e-51,1794
5,Z-Score (3),Phase 3 (Near Expiry),0.2686303851242014,2.854542870753659e-06,6.708890322436174e-124,1794
5,Winsorized,Phase 1 (Early),0.07395428329337747,2.4399925294582108e-06,4.6941732339446845e-32,1810
5,Winsorized,Phase 2 (Middle),0.1572102966712162,3.2661003785031764e-06,3.3414824789068673e-69,1810
5,Winsorized,Phase 3 (Near Expiry),0.28197805928077035,3.0340230484547354e-06,3.1337105450899635e-132,1810
5,Abs (200k),Phase 1 (Early),0.07504378322329967,2.171838836030788e-06,1.9568063272298528e-32,1805
5,Abs (200k),Phase 2 (Middle),0.10942302929993765,2.2916017136291523e-06,2.405540327357058e-47,1805
5,Abs (200k),Phase 3 (Near Expiry),0.2748653627598228,2.544463536314914e-06,3.8131293258980457e-128,1807
5,Abs (100k),Phase 1 (Early),0.06468568290769472,2.377426823567596e-06,8.55483335778421e-28,1788
