Statistic,Linear_Model,Quadratic_Model
alpha,-1.4647642415210443e-05,-1.6682783003364895e-05
beta,1.977178029716644e-07,
se_alpha,1.7038281370042058e-05,
se_beta,4.501813523708115e-09,
t_alpha,-0.859690135236585,
t_beta,43.91958972321125,
p_alpha,0.3899675529135753,
p_beta,0.0,
ci_beta_lower,1.8889401265700903e-07,
ci_beta_upper,2.0654159328631974e-07,
r_squared,0.06705374321202531,0.06761201471772209
adj_r_squared,0.06701898107413173,0.06754252945593553
correlation,0.2589473753719299,
n_obs,26840.0,26840.0
sse,0.20911286465064433,0.20898773230466244
rmse,0.0027912524674789476,
p_beta2,,6.124797152207151e-05
beta1,,2.016523714672127e-07
se_beta2,,3.6176826570768444e-14
beta2,,1.4501797872144045e-13
t_beta2,,4.008587608914755
