Statistic,Linear_Model,Quadratic_Model
alpha,-0.00098138815542288,0.0013360465143800655
beta,1.31619835250042e-06,
se_alpha,0.0032491129514837526,
se_beta,6.036350946044948e-08,
t_alpha,-0.30204802666977626,
t_beta,21.80453661930973,
p_alpha,0.7626383339539013,
p_beta,0.0,
ci_beta_lower,1.1978358582853055e-06,
ci_beta_upper,1.4345608467155345e-06,
r_squared,0.1476314228599898,0.21846094353945475
adj_r_squared,0.14732090607414638,0.2178913086586527
correlation,0.38422834728841815,
n_obs,2747.0,2747.0
sse,79.38257653590509,72.78609938355005
rmse,0.16999387185244194,
se_beta2,,9.241686343150244e-14
t_beta2,,-15.769715622908102
beta2,,-1.4573876550759284e-12
p_beta2,,0.0
beta1,,1.9884162217185035e-06
