window_start,window_end,window_start_ms,window_end_ms,beta,alpha,se_beta,avg_depth,avg_mid_price,r_squared,n_obs
2025-10-15 00:05:29.735000+00:00,2025-10-15 07:55:35.774000+00:00,1760486729735,1760514935774,1.2219760660346046e-07,3.789233689288147e-06,6.481457407147917e-09,13278981.893439999,0.8819750000000001,0.4164868880364799,500
2025-10-15 03:53:14.985000+00:00,2025-10-15 09:58:20.644000+00:00,1760500394985,1760522300644,1.269294845407432e-07,9.324775576787757e-06,5.6515885741089005e-09,13254095.6895,0.8815350000000001,0.5031974487669294,500
2025-10-15 07:55:43.594000+00:00,2025-10-15 11:43:21.267000+00:00,1760514943594,1760528601267,1.1896213745656645e-07,8.106684910378743e-06,5.211468885478403e-09,13273876.819479998,0.8806269999999999,0.5113198051671326,500
2025-10-15 09:58:20.697000+00:00,2025-10-15 13:41:36.661000+00:00,1760522300697,1760535696661,1.0197708753254838e-07,4.220861361288384e-06,4.650500257623224e-09,13298215.631460002,0.8803979999999999,0.49123755791395785,500
2025-10-15 11:43:25.104000+00:00,2025-10-15 16:57:41.620000+00:00,1760528605104,1760547461620,1.0343196148305271e-07,5.331786111551324e-06,4.751699871349217e-09,13295794.826459998,0.8796449999999999,0.48755834850877017,500
2025-10-15 13:41:42.463000+00:00,2025-10-15 19:44:00.959000+00:00,1760535702463,1760557440959,9.942678438491573e-08,3.2075669122042017e-06,4.906621006017725e-09,13268732.352239998,0.8785470000000001,0.45191704015276574,500
2025-10-15 16:57:43.044000+00:00,2025-10-16 01:13:13.522000+00:00,1760547463044,1760577193522,4.7616518897122916e-08,-1.1442403707574659e-06,2.470942818649971e-09,13286326.860459998,0.8791200000000001,0.42716186460423067,500
2025-10-15 19:44:27.326000+00:00,2025-10-16 03:42:09.739000+00:00,1760557467326,1760586129739,4.5505084172939964e-08,-2.5686682610886666e-06,2.3293775725195336e-09,13364212.084220001,0.8798199999999999,0.4338514884312141,500
2025-10-16 01:14:00.185000+00:00,2025-10-17 19:34:22.378000+00:00,1760577240185,1760729662378,3.2641573167112973e-07,7.666006537997224e-05,3.286892829856304e-08,13390074.907060005,0.8795999999999999,0.16529977511327934,500
2025-10-16 03:42:16.481000+00:00,2025-10-17 23:01:18.579000+00:00,1760586136481,1760742078579,5.295814127462983e-07,2.232236648199613e-05,3.864007810358254e-08,13104761.388600003,0.895113,0.2738837610982208,500
