time_window,phase,n_obs,r2_ofi_only,r2_tfi_only,r2_combined,r2_gain_from_tfi,beta_ofi_combined,beta_tfi_combined,p_ofi_combined,p_tfi_combined,beta_ofi_solo,p_ofi_solo,beta_tfi_solo,p_tfi_solo
1,Phase 1: Early,7535,0.053096121567169585,3.3944648573092095e-06,0.053103312308216855,7.190741047269356e-06,1.8859991899003983e-06,5.733633747507184e-08,2.2675624963333048e-07,0.7435954811147265,1.885919265470583e-06,2.2714328115646705e-07,3.9393621083556005e-08,0.8286279495285024
1,Phase 2: Middle,7535,0.0489988724214071,1.9338929415302353e-05,0.04902402247649407,2.515005508696433e-05,6.972263604331434e-07,4.5404421510925e-08,0.0019461739958900577,0.5896155803781253,6.971823080987821e-07,0.001947031319266569,3.981467744315093e-08,0.637546781854471
1,Phase 3: Near Expiry,7537,0.08960890110204955,0.0002524578015271617,0.08979740624493182,0.00018850514288226705,1.095647027640488e-06,-5.4453347039790054e-08,0.009314196895244533,0.29720124577773654,1.096009689195539e-06,0.00930550194689078,-6.301530953874229e-08,0.23168109979979723
5,Phase 1: Early,1810,0.07483253177226568,3.840667196497449e-07,0.07483385964443245,1.3278721667786542e-06,2.176145005003721e-06,-2.205328828549667e-08,1.4096368534352688e-08,0.9109198062449272,2.1760856241559944e-06,1.389625539079967e-08,1.1860129942677277e-08,0.95696296406168
5,Phase 2: Middle,1810,0.09708803961301338,0.0008612237793640398,0.09788342880351442,0.0007953891905010391,9.661572604595301e-07,2.2453586385659973e-07,0.0010872304366203647,0.08817252900056088,9.664784828376716e-07,0.001060602722402105,2.3364202110445205e-07,0.09824101708028835
5,Phase 3: Near Expiry,1810,0.1320933427487303,0.0014172452652917444,0.13297471996578913,0.0008813772170588319,1.1934537130442134e-06,9.855747029546407e-08,0.02152885849368742,0.1855236394530846,1.195594624156145e-06,0.021422144839868002,1.2494728327174025e-07,0.18112823294046565
10,Phase 1: Early,915,0.10851002872045545,0.0009437383139250244,0.11017637647799394,0.0016663477575384888,2.5024921084890408e-06,-7.491465423315035e-07,2.1397302638857095e-10,0.2341768775352865,2.493032600519362e-06,1.5421995534184616e-10,-5.635160179116696e-07,0.39343757250803535
10,Phase 2: Middle,915,0.24393828525449823,3.5255157510016844e-06,0.24419164871309373,0.00025336345859550136,2.8625940122608305e-06,1.2351392179020607e-07,2.31179614090044e-09,0.6176061388347277,2.859974078459928e-06,2.3481398161977243e-09,1.4563973341951564e-08,0.9676000999785045
10,Phase 3: Near Expiry,917,0.1771776672313603,0.0038340341713274384,0.17914869397368638,0.0019710267423260763,9.707482030433257e-07,1.281215994837658e-07,0.00015936281179486229,0.21141325644164477,9.750427065900627e-07,0.00015665856947524658,1.785359804452236e-07,0.1454701187620696
15,Phase 1: Early,611,0.07146902380715758,3.207507595059944e-05,0.07164411434576257,0.0001750905386049828,2.0276060510923413e-06,-2.2273581378096313e-07,3.2465247314304594e-09,0.5457042185785141,2.0247695708048228e-06,2.8698606843981954e-09,-9.529468584865882e-08,0.8133942477911724
15,Phase 2: Middle,611,0.32413269944412093,0.00018566956325705153,0.3241388371879742,6.137743853273925e-06,2.9154283138815734e-06,-1.5013975091210635e-08,1.0967282802352148e-09,0.9340438670880168,2.91567682374363e-06,1.207614492948687e-09,-8.256165285231232e-08,0.7642691175234702
15,Phase 3: Near Expiry,613,0.21408481973251203,0.00457167988566598,0.21609263077935414,0.0020078110468421118,1.0637600323543869e-06,1.186558993925118e-07,2.6725881236930432e-05,0.2943143599373941,1.0688805954605154e-06,2.6570719099698527e-05,1.7882782919814285e-07,0.17254108907701293
20,Phase 1: Early,458,0.09899428580726666,0.00012162390832570757,0.09936971583219589,0.0003754300249292353,2.4101618844042097e-06,3.3493125085234843e-07,2.283750290448961e-11,0.39519752944072006,2.4062322092169486e-06,3.6591183572603834e-11,1.9056712820614096e-07,0.6755201419566637
20,Phase 2: Middle,458,0.3128243618679588,9.437663774636285e-05,0.31290397839145945,7.96165235006363e-05,2.7971760900797274e-06,5.379599930817789e-08,1.1537047047541316e-06,0.8121616547045706,2.7956894527723048e-06,1.2877140632070473e-06,-5.8538218269406665e-08,0.8578232669868614
20,Phase 3: Near Expiry,460,0.19696068549748103,0.009783629244894954,0.2024717687924782,0.0055110832949971655,9.788858018700927e-07,1.8023493390909605e-07,0.00023407183901649954,0.0689966150009373,9.881335430410988e-07,0.00023538375941025203,2.3976832439991193e-07,0.027273466829951614
30,Phase 1: Early,306,0.10157239820884678,4.465185363256019e-05,0.10207241523777988,0.0005000170289330974,2.451078481147018e-06,-3.5836837278111035e-07,2.0542543259445342e-13,0.5722221469040387,2.442651560252731e-06,9.419978435469418e-14,-1.0696277365659833e-07,0.8727827896068374
30,Phase 2: Middle,306,0.3199198226252964,0.0019650150000407596,0.3199782542607583,5.843163546193075e-05,2.7544079888567217e-06,-4.548587619152323e-08,3.6710142205059844e-11,0.8009780826054436,2.7568305880158167e-06,3.639634248665839e-11,-2.632202597767878e-07,0.44047528791841073
30,Phase 3: Near Expiry,308,0.13752360146575549,0.013154983697832745,0.1456075293309087,0.008083927865153218,8.210925415453048e-07,1.811018682840686e-07,0.007665982445116554,0.08472159612482438,8.347613654577815e-07,0.007430225784238809,2.304987861846987e-07,0.06628760579082109
45,Phase 1: Early,205,0.14836828571182037,0.00032533155280800585,0.15005524007390747,0.0016869543620871008,2.974645962300717e-06,-6.142669547947729e-07,6.148897939044772e-16,0.34780743471703557,2.9558232460996153e-06,7.049234407715851e-16,-2.6927466563888816e-07,0.7044492085762788
45,Phase 2: Middle,205,0.37199830920362464,0.005219314628874483,0.37244618104069116,0.0004478718370665158,2.7057511497694097e-06,-1.2538898764479204e-07,1.8294445496860743e-08,0.600874644864283,2.7136766577221133e-06,1.3430535142404637e-08,-4.2653654374914533e-07,0.28028832761570444
45,Phase 3: Near Expiry,205,0.1636224489974376,0.014119621716750408,0.1732059066515622,0.009583457654124605,7.95345773044178e-07,1.9095384646379938e-07,0.06092249533075373,0.08176393716711332,8.055109240404956e-07,0.060780742172454376,2.314670680814288e-07,0.04885152831096319
60,Phase 1: Early,153,0.10603071824919486,0.00011904309454402462,0.10816482904669622,0.002134110797501365,2.4388898680424776e-06,-6.857805334730923e-07,8.590090508193644e-16,0.36493240746522726,2.4020285998388516e-06,1.5885409714703517e-14,-1.610285287114629e-07,0.8592776002332678
60,Phase 2: Middle,153,0.44622190389577765,0.002043300426018302,0.44622691982137785,5.015925600204696e-06,3.1014057175361756e-06,1.2601650016729743e-08,1.5025697588840686e-07,0.9683631261414939,3.100665612632718e-06,1.7174890861696784e-07,-2.536998205838114e-07,0.6654190401338046
60,Phase 3: Near Expiry,154,0.09440703532390249,0.00962597331609627,0.10060177766882628,0.006194742344923787,6.555492507711161e-07,1.352909926890939e-07,0.12307008124545249,0.21794834233161364,6.664419023141122e-07,0.12192749207101747,1.683051202602881e-07,0.13653761563127026
