outlier_method,time_window,phase,n_obs,r2_ofi_only,r2_tfi_only,r2_combined,r2_gain_from_tfi,beta_ofi_combined,beta_tfi_combined,p_ofi_combined,p_tfi_combined,beta_ofi_solo,p_ofi_solo,beta_tfi_solo,p_tfi_solo
Z-Score (3),1,Phase 1: Early,7386,0.044886437345816654,0.0003406266513377165,0.04517756923804539,0.00029113189222873537,2.1633093053176656e-06,9.167722079223649e-07,3.956465954341511e-12,0.01458505684300863,2.164456152747824e-06,3.982602170151395e-12,9.916227024411802e-07,0.011588218956975444
Z-Score (3),1,Phase 2: Middle,7435,0.07262199988536033,3.092122253800511e-06,0.07264585665581125,2.3856770450914055e-05,2.71794355060411e-06,1.4764811766412e-07,5.1992710083342995e-37,0.7187900361090357,2.71737227605441e-06,4.496012254887396e-37,5.315219487505959e-08,0.9007487655716975
Z-Score (3),1,Phase 3: Near Expiry,7411,0.12789801799544143,0.00012358996685635226,0.12800014658260606,0.00010212858716462936,2.515578472448475e-06,-1.0820522169091704e-07,7.627381756824983e-89,0.3334915545325404,2.5157794987852246e-06,7.617494652257434e-89,-1.1903219129922673e-07,0.3290037323729156
Z-Score (3),5,Phase 1: Early,1765,0.06121444304126533,2.5664446052786616e-06,0.06133587899403514,0.00012143595276981056,2.27057094490135e-06,-3.4002288443742537e-07,6.04029931045499e-12,0.41026107597270145,2.2667284390328134e-06,5.341885387025423e-12,-4.939535703356042e-08,0.9127897637111845
Z-Score (3),5,Phase 2: Middle,1774,0.11828187410155955,0.00032732912094723954,0.11920955748381612,0.0009276833822565722,2.7925972316703054e-06,5.536962614807867e-07,6.730359520235004e-20,0.11404882372711099,2.7837416361735206e-06,7.337539101710906e-20,3.286881271275384e-07,0.35443867869212964
Z-Score (3),5,Phase 3: Near Expiry,1774,0.25699608178954303,0.00020576405682970478,0.25704269563100035,4.661384145732139e-05,2.779087187976786e-06,-4.915491026438467e-08,1.0318272694515393e-39,0.771894787568091,2.777524020325017e-06,2.2047377888695533e-39,1.0318471142517211e-07,0.6420197416559179
Z-Score (3),10,Phase 1: Early,889,0.10356644013021588,0.00013546149267940066,0.10381657328586757,0.00025013315565169947,2.459055374938365e-06,-4.4831546582733487e-07,1.755872890306438e-09,0.7150240153097132,2.4574882614698113e-06,1.4080741837052212e-09,-3.2989023518459066e-07,0.7952704147697153
Z-Score (3),10,Phase 2: Middle,894,0.15784423134960313,0.0029932973472587276,0.1616512160645519,0.00380698471494878,2.820221588247803e-06,9.87354914008814e-07,6.515047019456958e-16,0.2187772052330752,2.812546259455411e-06,6.251531768926247e-16,8.75367899277094e-07,0.2931139067523266
Z-Score (3),10,Phase 3: Near Expiry,899,0.33953359620425616,0.0013794869868459791,0.3398677832428135,0.0003341870385573653,2.8992816626241855e-06,1.0248276311844208e-07,7.548058125599539e-32,0.6118358985267291,2.9022318505316017e-06,2.0824984228037985e-31,2.081071378804696e-07,0.4168585673603775
Z-Score (3),15,Phase 1: Early,596,0.06774153430326124,0.00010371347531890063,0.06810921552030191,0.0003676812170406718,1.9951247161460196e-06,-4.561419222755652e-07,8.993211658221621e-09,0.4735736379837978,1.990063392347458e-06,7.989062426547983e-09,-2.4211585648246595e-07,0.7218790131853907
Z-Score (3),15,Phase 2: Middle,602,0.18041051160476318,0.0014884577428747603,0.18140161138624178,0.0009910997814785993,2.419159900593134e-06,3.497490768730547e-07,4.630577997579749e-13,0.3640045478498306,2.4221626217096532e-06,4.5216880758298e-13,4.2855385230347386e-07,0.30116159956091515
