time_window,outlier_method,r_squared,beta,p_value,n_windows,phase
1,Raw,0.003225979607072634,-1.2957582128411698e-06,1.6969715757841047e-06,7093,Phase 1: Early
1,IQR (1.5x),0.001089749770213022,-3.513412671896087e-05,0.019604053419834115,4998,Phase 1: Early
1,Pctl (1%-99%),0.0007089027924079203,-1.5490545996191005e-06,0.026431645846354147,6951,Phase 1: Early
1,Z-Score (3),0.0012170704049549966,-1.7660035532186831e-06,0.0034674725459238314,7018,Phase 1: Early
1,Winsorized,0.0005157866216589349,-1.0490578655529706e-06,0.055796272474318856,7093,Phase 1: Early
1,Abs (200k),0.003225979607072634,-1.2957582128411698e-06,1.6969715757841047e-06,7093,Phase 1: Early
1,Abs (100k),0.00035138370807215997,-4.952131042309219e-07,0.11448286729382709,7091,Phase 1: Early
1,MAD (3),0.0007478682468400494,-5.163665171500405e-05,0.06496193485137129,4555,Phase 1: Early
1,Pctl (5%-95%),0.002124769207133198,-6.246385118981942e-06,0.00022964414650201314,6383,Phase 1: Early
5,Raw,0.0005222598748312755,3.5792050212058693e-07,0.3106724697136026,1970,Phase 1: Early
5,IQR (1.5x),0.00011261152204306097,-9.825819436032945e-07,0.6743737158920327,1570,Phase 1: Early
5,Pctl (1%-99%),9.256531316142535e-05,2.7965969544339386e-07,0.6727277689178051,1930,Phase 1: Early
5,Z-Score (3),0.00019139620995486253,3.850897127218218e-07,0.5421163984949476,1944,Phase 1: Early
5,Winsorized,0.0007443033736632594,6.915907163874531e-07,0.22614222801654293,1970,Phase 1: Early
5,Abs (200k),0.0005222598748312755,3.5792050212058693e-07,0.3106724697136026,1970,Phase 1: Early
5,Abs (100k),0.0044377870066461406,1.19522646172934e-06,0.0031098319419060345,1968,Phase 1: Early
5,MAD (3),0.001809492659911728,6.308074350473095e-06,0.10997352966994323,1413,Phase 1: Early
5,Pctl (5%-95%),0.00014665110887457665,-5.757315863329139e-07,0.6104513661633582,1772,Phase 1: Early
10,Raw,0.0023696925937179794,6.232304429259917e-07,0.12358259136199418,1002,Phase 1: Early
10,IQR (1.5x),4.2901878715056885e-07,2.619370505435887e-08,0.9846349508593568,867,Phase 1: Early
10,Pctl (1%-99%),0.0029449913774207055,1.0992054595598013e-06,0.0895203749261774,980,Phase 1: Early
10,Z-Score (3),0.001817991198207532,8.609138248919792e-07,0.181194157952686,985,Phase 1: Early
10,Winsorized,0.005417761285311411,1.2715669498478176e-06,0.019796215503325398,1002,Phase 1: Early
10,Abs (200k),0.0023696925937179794,6.232304429259917e-07,0.12358259136199418,1002,Phase 1: Early
10,Abs (100k),0.010658506078500904,1.4976942300692442e-06,0.0010777842918895156,1000,Phase 1: Early
10,MAD (3),0.00017686121591261735,-6.699300672068995e-07,0.7053117554537037,811,Phase 1: Early
10,Pctl (5%-95%),0.004049697125589343,2.047490401045298e-06,0.05633976315279042,900,Phase 1: Early
15,Raw,0.005146365276176367,7.349813085370127e-07,0.06347910885060122,670,Phase 1: Early
15,IQR (1.5x),0.0027339846649295017,-1.3429265062976625e-06,0.20548690798511568,588,Phase 1: Early
15,Pctl (1%-99%),0.004899480238899076,-9.807667920168545e-07,0.07320372751427484,656,Phase 1: Early
15,Z-Score (3),0.000322949399478702,-2.8997233533882403e-07,0.6461734828176269,655,Phase 1: Early
15,Winsorized,0.002604684724966988,5.921189262557079e-07,0.1870253309572757,670,Phase 1: Early
15,Abs (200k),0.005146365276176367,7.349813085370127e-07,0.06347910885060122,670,Phase 1: Early
15,Abs (100k),0.0003629513651997904,2.1374578879838418e-07,0.6230614852866874,668,Phase 1: Early
15,MAD (3),0.0007031341147761197,-7.578365488648726e-07,0.5271551012403495,571,Phase 1: Early
